DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
12.00,1481.00,1105.00,WN,14635,RSW,13232,MDW,7
12.00,1482.00,838.00,WN,15304,TPA,12339,IND,2
12.00,1485.00,845.00,CO,12266,IAH,12339,IND,11
12.00,1487.00,1203.00,XP,14082,PGD,13933,ORH,3
12.00,1490.00,680.00,WN,14492,RDU,11697,FLL,3
12.00,1491.00,1013.00,WN,11292,DEN,10693,BNA,10
12.00,1492.00,978.00,AS,14908,SNA,14747,SEA,11
12.00,1492.00,1262.00,G4,14025,PBG,14112,PIE,4
12.00,1494.00,919.00,WN,14635,RSW,10821,BWI,2
12.00,1494.00,1246.00,WN,10821,BWI,12191,HOU,6
12.00,1497.00,937.00,AS,10800,BUR,14747,SEA,2
12.00,1499.00,978.00,AS,14747,SEA,14908,SNA,11
12.00,1499.00,1013.00,WN,11292,DEN,10693,BNA,4
12.00,1499.00,1242.00,AA,12892,LAX,10423,AUS,11
12.00,1502.00,231.00,DL,12339,IND,11433,DTW,12
12.00,1502.00,979.00,WN,14635,RSW,15016,STL,11
12.00,1503.00,680.00,WN,14492,RDU,11697,FLL,11
